w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,w,0,0,0,0,0,w,w,w,w,w,w,0,0,0,0,0,0,0,0,0,0,w,w,w,w,w,w,0,0,0,0,0,0
w,0,0,0,0,0,0,w,0,0,0,0,w,0,0,0,0,0,0,0,0,0,0,w,0,0,0,0,w,0,0,0,0,0,0
0,w,0,0,0,0,0,w,0,0,0,0,w,0,0,0,0,0,0,0,0,0,0,w,0,0,0,0,w,0,0,0,0,0,0
w,0,0,0,0,0,0,w,0,0,0,0,w,0,0,0,0,0,0,0,0,0,0,w,0,0,0,0,w,0,0,0,0,0,0
0,w,0,0,0,0,0,w,0,0,0,0,w,0,0,0,0,0,0,0,0,0,0,w,0,0,0,0,w,0,0,0,0,0,0
w,0,0,0,0,0,0,0,0,0,0,0,w,g,0,0,0,0,0,0,0,0,0,w,0,0,0,0,0,0,0,0,0,0,0
0,w,0,0,0,0,0,0,0,0,0,0,w,w,w,w,0,0,0,0,w,w,w,w,0,0,0,0,0,0,0,0,0,0,0
w,0,0,0,0,0,0,0,0,0,0,0,w,w,w,w,0,0,0,0,w,w,w,w,0,0,0,0,0,0,0,0,0,0,0
0,w,0,0,0,0,0,0,0,0,0,0,w,w,w,w,0,0,0,0,w,w,w,w,0,0,0,0,0,0,0,0,0,0,0
w,0,0,0,0,0,0,w,0,0,0,0,w,w,w,w,0,0,0,0,w,w,w,w,0,0,0,0,w,0,0,0,0,0,0
0,w,0,0,0,0,0,w,0,0,0,0,w,w,w,w,0,0,0,0,w,w,w,w,0,0,0,0,w,0,0,0,0,0,0
w,0,0,0,0,0,0,w,0,0,0,0,w,w,w,w,0,0,0,0,w,w,w,w,0,0,0,0,w,0,0,0,0,0,0
0,w,0,0,0,0,0,w,0,0,0,0,w,0,0,0,0,0,0,0,0,0,0,w,0,0,0,0,w,0,0,0,0,0,0
w,0,0,0,0,0,0,w,w,w,w,w,w,0,0,0,0,0,0,0,0,0,0,w,w,w,w,w,w,0,0,0,0,0,0
0,w,0,0,0,0,0,w,0,w,0,w,w,0,0,0,0,0,0,0,0,0,0,w,w,0,w,0,w,0,0,0,0,0,0
w,0,0,0,0,0,0,0,w,0,w,w,w,0,0,0,0,0,0,0,0,0,0,w,w,w,0,w,0,0,0,0,0,0,0
0,w,0,0,0,0,0,w,0,w,0,w,w,0,0,0,0,0,0,0,0,0,0,w,w,0,w,0,w,0,0,0,0,0,0
w,0,0,0,0,0,0,0,w,0,w,w,w,g,0,0,0,0,0,0,0,0,0,w,w,w,0,w,0,0,0,0,0,0,0
0,w,0,0,0,0,0,w,0,w,0,w,w,0,0,0,0,0,0,0,0,0,0,w,w,0,w,0,w,0,0,0,0,0,0
w,0,0,0,0,0,0,0,w,0,w,w,w,0,0,0,0,0,0,0,0,0,0,w,w,w,0,w,0,0,0,0,0,0,0
0,w,0,0,0,0,0,w,0,w,0,w,w,0,0,0,w,0,0,w,0,0,0,w,w,0,w,0,w,0,0,0,0,0,0
w,0,0,0,0,0,0,0,w,0,w,w,w,w,w,w,w,r,r,w,w,w,w,w,w,w,0,w,0,0,0,0,0,0,0
